Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,4.509640,4.532520,4.505000,4.510190,4.510190,0
2021-01-12,4.523250,4.528400,4.513900,4.522500,4.522500,0
2021-01-13,4.519990,4.541480,4.516000,4.519230,4.519230,0
2021-01-14,4.539250,4.550850,4.531600,4.536200,4.536200,0
2021-01-15,4.536300,4.549190,4.532200,4.536600,4.536600,0
2021-01-18,4.534310,4.547320,4.524000,4.534010,4.534010,0
2021-01-19,4.532280,4.537340,4.521600,4.529530,4.529530,0
2021-01-20,4.532710,4.546320,4.518500,4.532660,4.532660,0
2021-01-21,4.533380,4.534940,4.521900,4.531200,4.531200,0
2021-01-22,4.528000,4.543670,4.526000,4.528600,4.528600,0
2021-01-25,4.537810,4.542680,4.530600,4.537880,4.537880,0
2021-01-26,4.539100,4.552920,4.535000,4.538320,4.538320,0
2021-01-27,4.543550,4.553860,4.538600,4.539500,4.539500,0
2021-01-28,4.546580,4.560610,4.535800,4.546070,4.546070,0
2021-01-29,4.540640,4.542850,4.515000,4.536300,4.536300,0
2021-02-01,4.514800,4.524380,4.498100,4.515200,4.515200,0
2021-02-02,4.508590,4.511010,4.472700,4.507860,4.507860,0
2021-02-03,4.480450,4.493900,4.470200,4.479860,4.479860,0
2021-02-04,4.484470,4.502950,4.481000,4.481100,4.481100,0
2021-02-05,4.496200,4.503560,4.480800,4.495700,4.495700,0
2021-02-08,4.482680,4.489680,4.471100,4.482700,4.482700,0
2021-02-09,4.474150,4.482350,4.468400,4.472800,4.472800,0
2021-02-10,4.473580,4.490490,4.466900,4.470100,4.470100,0
2021-02-11,4.491200,4.506450,4.487600,4.490800,4.490800,0
2021-02-12,4.497800,4.507790,4.491100,4.497100,4.497100,0
2021-02-15,4.495560,4.496780,4.475900,4.493900,4.493900,0
2021-02-16,4.484480,4.498450,4.479400,4.480800,4.480800,0
2021-02-17,4.492000,4.504680,4.490800,4.492400,4.492400,0
2021-02-18,4.488930,4.495930,4.477830,4.488590,4.488590,0
2021-02-19,4.488580,4.490900,4.475500,4.488100,4.488100,0
2021-02-22,4.483040,4.498160,4.475500,4.483080,4.483080,0
2021-02-23,4.494270,4.508760,4.489900,4.494510,4.494510,0
2021-02-24,4.507110,4.523590,4.501000,4.507080,4.507080,0
2021-02-25,4.504360,4.515100,4.498400,4.503860,4.503860,0
2021-02-26,4.517910,4.525700,4.503300,4.516960,4.516960,0
2021-03-01,4.518150,4.535710,4.508700,4.518040,4.518040,0
2021-03-02,4.530800,4.542580,4.526200,4.527400,4.527400,0
2021-03-03,4.533400,4.551480,4.526300,4.532700,4.532700,0
2021-03-04,4.543460,4.558450,4.539100,4.543620,4.543620,0
2021-03-05,4.559670,4.598090,4.556500,4.559850,4.559850,0
2021-03-08,4.583120,4.602310,4.579200,4.583730,4.583730,0
2021-03-09,4.595050,4.597500,4.570200,4.595070,4.595070,0
2021-03-10,4.565720,4.577590,4.564420,4.566050,4.566050,0
2021-03-11,4.575270,4.585710,4.559900,4.574010,4.574010,0
2021-03-12,4.581440,4.596190,4.575300,4.579640,4.579640,0
2021-03-15,4.578050,4.590760,4.574400,4.578080,4.578080,0
2021-03-16,4.587810,4.595960,4.583800,4.587590,4.587590,0
2021-03-17,4.590500,4.616660,4.590100,4.590600,4.590600,0
2021-03-18,4.596190,4.627470,4.591300,4.596190,4.596190,0
2021-03-19,4.617660,4.623630,4.609400,4.618570,4.618570,0
2021-03-22,4.621100,4.623340,4.587800,4.620290,4.620290,0
2021-03-23,4.593060,4.619200,4.587700,4.590900,4.590900,0
2021-03-24,4.617850,4.633670,4.611200,4.618080,4.618080,0
2021-03-25,4.624320,4.645500,4.621300,4.624080,4.624080,0
2021-03-26,4.629460,4.649470,4.625350,4.631460,4.631460,0
2021-03-29,4.631800,4.670200,4.627900,4.629600,4.629600,0
2021-03-30,4.661000,4.668130,4.637250,4.661300,4.661300,0
2021-03-31,4.653640,4.667910,4.628400,4.653000,4.653000,0
2021-04-01,4.625480,4.635050,4.585100,4.627200,4.627200,0
2021-04-02,4.583500,4.607200,4.574200,4.586280,4.586280,0
2021-04-05,4.603380,4.607590,4.577800,4.599400,4.599400,0
2021-04-06,4.589200,4.605810,4.583500,4.588220,4.588220,0
2021-04-07,4.588410,4.601490,4.561550,4.586200,4.586200,0
2021-04-08,4.571240,4.573700,4.536100,4.570160,4.570160,0
2021-04-09,4.542710,4.553350,4.526400,4.543340,4.543340,0
2021-04-12,4.527900,4.534800,4.518200,4.530630,4.530630,0
2021-04-13,4.528000,4.570200,4.527600,4.529590,4.529590,0
2021-04-14,4.563680,4.565520,4.546700,4.561600,4.561600,0
2021-04-15,4.552290,4.560100,4.546300,4.549600,4.549600,0
2021-04-16,4.551140,4.555720,4.536400,4.549690,4.549690,0
2021-04-19,4.538800,4.553250,4.536000,4.540130,4.540130,0
2021-04-20,4.549460,4.556760,4.542700,4.549460,4.549460,0
2021-04-21,4.547200,4.562140,4.543400,4.550000,4.550000,0
2021-04-22,4.552700,4.563310,4.548100,4.554450,4.554450,0
2021-04-23,4.563210,4.568560,4.551700,4.562660,4.562660,0
2021-04-26,4.550510,4.560490,4.546600,4.550660,4.550660,0
2021-04-27,4.558100,4.573050,4.549300,4.554900,4.554900,0
2021-04-28,4.567530,4.591910,4.565000,4.567710,4.567710,0
2021-04-29,4.564120,4.585850,4.559800,4.572100,4.572100,0
2021-04-30,4.565790,4.570150,4.546760,4.565440,4.565440,0
2021-05-03,4.557830,4.557830,4.537400,4.557950,4.557950,0
2021-05-04,4.540820,4.561950,4.537100,4.540000,4.540000,0
2021-05-05,4.551120,4.582550,4.547600,4.552670,4.552670,0
